id,predicted_churn_risk,risk_tier,behavioral_state,behavioral_evidence,recent_deterioration_count,persistent_deterioration_count,coordinated_deterioration_count,value_tier,arpu_8,retention_priority,candidate_action,decision_rationale,churn_probability
67007,0.014396809353026977,High,Persistent Deterioration,3/5 behavioural metrics declined recently; 3/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,3,3,5,Highest,701.161,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
60990,0.008882398777541272,High,Stable / Limited Deterioration,1/5 behavioural metrics declined recently,1,0,0,Moderate,97.454,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
59017,0.0050014362994182495,Moderate,Stable / Limited Deterioration,1/5 behavioural metrics declined across the observed period,0,0,1,Moderate,145.831,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
33128,0.001823824614343084,Low,Persistent Deterioration,3/5 behavioural metrics declined recently; 2/5 behavioural metrics show persistent decline; 3/5 behavioural metrics declined across the observed period,3,2,3,Higher,272.897,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
21937,0.003521838151204969,Moderate,Recent Deterioration,2/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 2/5 behavioural metrics declined across the observed period,2,1,2,Highest,616.27,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
59741,0.3649426641844777,Very High,Severe Persistent Deterioration,5/5 behavioural metrics declined recently; 4/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,5,4,5,Lower,26.834,Priority 2,Persistent Deterioration Review,Very High churn risk combined with strong behavioural deterioration.,0
31401,0.001476417892110233,Low,Recent Deterioration,3/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 4/5 behavioural metrics declined across the observed period,3,1,4,Highest,1019.533,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
45309,0.04982037517479106,Very High,Stable / Limited Deterioration,1/5 behavioural metrics declined recently,1,0,0,Higher,253.935,Priority 1,Recharge / Affordability Review,Very High churn risk with Higher/Highest relative customer value.,0
9937,0.010504867737285607,High,Severe Persistent Deterioration,4/5 behavioural metrics declined recently; 4/5 behavioural metrics show persistent decline; 4/5 behavioural metrics declined across the observed period,4,4,4,Lower,43.783,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
56938,0.054045915264090194,Very High,Stable / Limited Deterioration,5/5 behavioural metrics declined across the observed period,0,0,5,Moderate,129.303,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
7204,0.002252968206697231,Low,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 2/5 behavioural metrics declined across the observed period,1,0,2,Higher,268.507,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
5957,0.9053227784595836,Very High,Severe Persistent Deterioration,4/5 behavioural metrics declined recently; 4/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,4,4,5,Lower,0.0,Priority 2,Persistent Deterioration Review,Very High churn risk combined with strong behavioural deterioration.,1
59317,0.000988322593093621,Low,Recent Deterioration,2/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 1/5 behavioural metrics declined across the observed period,2,1,1,Higher,231.839,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
51972,0.028410353233978888,High,Recent Broad Deterioration,4/5 behavioural metrics declined recently; 4/5 behavioural metrics declined across the observed period,4,0,4,Highest,762.945,Priority 3,Broad Recent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
59680,0.0026155886708751604,Low,Persistent Deterioration,3/5 behavioural metrics declined recently; 3/5 behavioural metrics show persistent decline; 4/5 behavioural metrics declined across the observed period,3,3,4,Higher,205.007,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
44748,0.006414013283167492,Moderate,Severe Persistent Deterioration,5/5 behavioural metrics declined recently; 4/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,5,4,5,Lower,82.303,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
17347,0.012107803942901774,High,Stable / Limited Deterioration,2/5 behavioural metrics declined across the observed period,0,0,2,Moderate,92.746,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
10608,0.007279669499199865,Moderate,Severe Persistent Deterioration,5/5 behavioural metrics declined recently; 5/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,5,5,5,Moderate,162.648,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
44145,0.005263967344224644,Moderate,Persistent Deterioration,4/5 behavioural metrics declined recently; 3/5 behavioural metrics show persistent decline; 4/5 behavioural metrics declined across the observed period,4,3,4,Lower,5.0,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
37750,0.0005776936094347638,Low,Stable / Limited Deterioration,4/5 behavioural metrics declined across the observed period,0,0,4,Highest,839.088,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
25849,0.003880471486464792,Moderate,Severe Persistent Deterioration,5/5 behavioural metrics declined recently; 5/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,5,5,5,Lower,68.846,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
11269,0.003494968594527608,Moderate,Stable / Limited Deterioration,No strong engineered deterioration signal detected,0,0,0,Higher,225.151,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
27404,0.0031265190692383415,Low,Persistent Deterioration,4/5 behavioural metrics declined recently; 2/5 behavioural metrics show persistent decline; 4/5 behavioural metrics declined across the observed period,4,2,4,Lower,17.85,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
45018,0.008710295254497595,Moderate,Recent Deterioration,5/5 behavioural metrics declined recently; 3/5 behavioural metrics declined across the observed period,5,0,3,Higher,305.006,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
30758,0.14710765361595696,Very High,Stable / Limited Deterioration,No strong engineered deterioration signal detected,0,0,0,Higher,325.214,Priority 1,General Retention Review,Very High churn risk with Higher/Highest relative customer value.,0
8698,0.004229200436053794,Moderate,Persistent Deterioration,3/5 behavioural metrics declined recently; 3/5 behavioural metrics show persistent decline; 3/5 behavioural metrics declined across the observed period,3,3,3,Lower,52.096,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
2507,0.0071982071843247125,Moderate,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 3/5 behavioural metrics declined across the observed period,1,0,3,Higher,277.708,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
31866,0.07140478116670508,Very High,Recent Deterioration,3/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 2/5 behavioural metrics declined across the observed period,3,1,2,Highest,534.87,Priority 1,Recharge / Affordability Review,Very High churn risk with Higher/Highest relative customer value.,0
918,0.9235317612510161,Very High,Persistent Deterioration,3/5 behavioural metrics declined recently; 3/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,3,3,5,Lower,0.0,Priority 2,Persistent Deterioration Review,Very High churn risk combined with strong behavioural deterioration.,1
46772,0.016142281924669908,High,Stable / Limited Deterioration,2/5 behavioural metrics declined across the observed period,0,0,2,Higher,314.053,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
61932,0.03005111530273268,High,Stable / Limited Deterioration,No strong engineered deterioration signal detected,0,0,0,Moderate,90.883,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,1
43188,0.3266159102763296,Very High,Persistent Deterioration,5/5 behavioural metrics declined recently; 2/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,5,2,5,Lower,0.52,Priority 2,Persistent Deterioration Review,Very High churn risk combined with strong behavioural deterioration.,0
52564,0.11935497156980336,Very High,Severe Persistent Deterioration,5/5 behavioural metrics declined recently; 5/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,5,5,5,Lower,8.54,Priority 2,Persistent Deterioration Review,Very High churn risk combined with strong behavioural deterioration.,0
31522,0.11082894086756176,Very High,Recent Broad Deterioration,5/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 4/5 behavioural metrics declined across the observed period,5,1,4,Moderate,102.093,Priority 2,Broad Recent Deterioration Review,Very High churn risk combined with strong behavioural deterioration.,0
14167,0.03153510159940092,High,Severe Persistent Deterioration,5/5 behavioural metrics declined recently; 4/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,5,4,5,Higher,201.79,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
7285,0.015148932312625778,High,Stable / Limited Deterioration,1/5 behavioural metrics declined across the observed period,0,0,1,Highest,630.782,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
34679,0.04223458910813255,Very High,Severe Persistent Deterioration,5/5 behavioural metrics declined recently; 4/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,5,4,5,Higher,243.832,Priority 1,Persistent Deterioration Review,Very High churn risk with Higher/Highest relative customer value.,0
5169,0.025544298271770172,High,Stable / Limited Deterioration,No strong engineered deterioration signal detected,0,0,0,Moderate,93.77,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
2470,0.10640820376873039,Very High,Recent Deterioration,3/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 4/5 behavioural metrics declined across the observed period,3,1,4,Lower,21.74,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
29249,0.010837655919896669,High,Recent Deterioration,2/5 behavioural metrics declined recently,2,0,0,Moderate,140.615,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
6189,0.00434594494885286,Moderate,Recent Deterioration,2/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,2,0,1,Highest,406.03,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
68318,0.021622400648958356,High,Recent Deterioration,5/5 behavioural metrics declined recently; 2/5 behavioural metrics declined across the observed period,5,0,2,Highest,493.929,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
31442,0.6863072688858431,Very High,Persistent Deterioration,5/5 behavioural metrics declined recently; 2/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,5,2,5,Moderate,122.174,Priority 2,Persistent Deterioration Review,Very High churn risk combined with strong behavioural deterioration.,0
21918,0.01372672717260249,High,Persistent Deterioration,3/5 behavioural metrics declined recently; 2/5 behavioural metrics show persistent decline; 3/5 behavioural metrics declined across the observed period,3,2,3,Lower,37.733,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
65233,0.0043185477042464535,Moderate,Recent Deterioration,3/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,3,0,1,Moderate,130.75,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
26163,0.015704413128882395,High,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 3/5 behavioural metrics declined across the observed period,1,1,3,Moderate,193.517,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
28203,0.02461776644668947,High,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,1,0,1,Moderate,115.16,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
52260,0.0023318704009246834,Low,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 4/5 behavioural metrics declined across the observed period,1,0,4,Highest,482.185,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
12500,0.14873527702779368,Very High,Recent Broad Deterioration,5/5 behavioural metrics declined recently; 5/5 behavioural metrics declined across the observed period,5,0,5,Lower,33.2,Priority 2,Broad Recent Deterioration Review,Very High churn risk combined with strong behavioural deterioration.,0
41390,0.7666492003787082,Very High,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,1,1,5,Lower,0.0,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,1
34365,0.005931078018055053,Moderate,Recent Deterioration,2/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 4/5 behavioural metrics declined across the observed period,2,1,4,Moderate,182.1,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
26088,0.007162628644893223,Moderate,Recent Deterioration,4/5 behavioural metrics declined recently,4,0,0,Lower,55.59,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
53724,0.0014813575235420743,Low,Recent Deterioration,2/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,2,0,1,Higher,371.291,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
32913,0.8937622208818875,Very High,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,1,1,5,Lower,0.0,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,1
59482,0.0024943960929898587,Low,Stable / Limited Deterioration,1/5 behavioural metrics declined across the observed period,0,0,1,Moderate,182.775,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
39803,0.006891261783294023,Moderate,Persistent Deterioration,3/5 behavioural metrics declined recently; 2/5 behavioural metrics show persistent decline; 4/5 behavioural metrics declined across the observed period,3,2,4,Higher,253.013,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
66861,0.018579589496371663,High,Recent Deterioration,3/5 behavioural metrics declined recently,3,0,0,Higher,253.317,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
3513,0.0003605340838672722,Low,Stable / Limited Deterioration,1/5 behavioural metrics declined recently,1,0,0,Highest,486.131,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
53183,0.006950375903300107,Moderate,Stable / Limited Deterioration,1/5 behavioural metrics declined recently,1,0,0,Highest,1972.028,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
36791,0.008415976596590631,Moderate,Recent Deterioration,3/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,3,0,1,Higher,275.341,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
30845,0.00362450311808573,Moderate,Recent Deterioration,5/5 behavioural metrics declined recently; 3/5 behavioural metrics declined across the observed period,5,0,3,Moderate,192.878,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
61773,0.0033028921775111243,Moderate,Recent Deterioration,2/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 1/5 behavioural metrics declined across the observed period,2,1,1,Higher,373.799,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
14943,0.00789878153539293,Moderate,Severe Persistent Deterioration,5/5 behavioural metrics declined recently; 5/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,5,5,5,Higher,359.931,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
55285,0.008008276571136452,Moderate,Recent Deterioration,3/5 behavioural metrics declined recently,3,0,0,Higher,303.017,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
65173,0.008693282552318101,Moderate,Severe Persistent Deterioration,5/5 behavioural metrics declined recently; 4/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,5,4,5,Moderate,124.266,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
5109,0.004349923141786722,Moderate,Recent Deterioration,3/5 behavioural metrics declined recently; 2/5 behavioural metrics declined across the observed period,3,0,2,Highest,477.458,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
61901,0.009686059817874189,High,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,1,0,1,Higher,337.754,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
37281,0.0010642477154166028,Low,Recent Deterioration,2/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 3/5 behavioural metrics declined across the observed period,2,1,3,Higher,320.386,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
37208,0.001440623710410224,Low,Persistent Deterioration,2/5 behavioural metrics declined recently; 2/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,2,2,5,Moderate,99.586,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
46867,0.04108015162187443,Very High,Recent Deterioration,2/5 behavioural metrics declined recently; 2/5 behavioural metrics declined across the observed period,2,0,2,Higher,359.66,Priority 1,Recharge / Affordability Review,Very High churn risk with Higher/Highest relative customer value.,0
15665,0.024430739636076473,High,Stable / Limited Deterioration,No strong engineered deterioration signal detected,0,0,0,Highest,580.706,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
52715,0.002688743862096149,Low,Stable / Limited Deterioration,2/5 behavioural metrics declined across the observed period,0,0,2,Lower,75.505,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
6456,0.002618519092614619,Low,Severe Persistent Deterioration,4/5 behavioural metrics declined recently; 4/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,4,4,5,Higher,260.346,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
69122,0.010018518424783835,High,Persistent Deterioration,4/5 behavioural metrics declined recently; 3/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,4,3,5,Lower,0.0,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
4306,0.0020783262450645343,Low,Stable / Limited Deterioration,1/5 behavioural metrics declined recently,1,0,0,Highest,489.65,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
13571,0.0010074216174080562,Low,Stable / Limited Deterioration,1/5 behavioural metrics declined recently,1,0,0,Highest,569.767,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
10751,0.07368612982065542,Very High,Stable / Limited Deterioration,5/5 behavioural metrics declined across the observed period,0,0,5,Lower,26.364,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
9787,0.04920120467176567,Very High,Persistent Deterioration,3/5 behavioural metrics declined recently; 3/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,3,3,5,Highest,381.747,Priority 1,Persistent Deterioration Review,Very High churn risk with Higher/Highest relative customer value.,0
66919,0.003714372893323461,Moderate,Persistent Deterioration,4/5 behavioural metrics declined recently; 2/5 behavioural metrics show persistent decline; 3/5 behavioural metrics declined across the observed period,4,2,3,Highest,688.304,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
52140,0.024793074064231424,High,Stable / Limited Deterioration,2/5 behavioural metrics declined across the observed period,0,0,2,Lower,46.907,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
13554,0.0030668605433402754,Low,Stable / Limited Deterioration,3/5 behavioural metrics declined across the observed period,0,0,3,Higher,215.737,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
49648,0.04937377874632718,Very High,Stable / Limited Deterioration,1/5 behavioural metrics declined recently,1,0,0,Highest,420.08,Priority 1,Recharge / Affordability Review,Very High churn risk with Higher/Highest relative customer value.,0
28609,0.012096328861874353,High,Recent Broad Deterioration,4/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,4,1,5,Highest,669.795,Priority 3,Broad Recent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
20677,0.018442228902853006,High,Persistent Deterioration,3/5 behavioural metrics declined recently; 3/5 behavioural metrics show persistent decline; 4/5 behavioural metrics declined across the observed period,3,3,4,Lower,20.7,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
51766,0.011567111837219774,High,Recent Deterioration,4/5 behavioural metrics declined recently,4,0,0,Lower,18.085,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
18761,0.7391454808341453,Very High,Persistent Deterioration,3/5 behavioural metrics declined recently; 3/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,3,3,5,Lower,0.0,Priority 2,Persistent Deterioration Review,Very High churn risk combined with strong behavioural deterioration.,1
11951,0.03955044043876064,Very High,Recent Deterioration,3/5 behavioural metrics declined recently,3,0,0,Higher,357.482,Priority 1,Recharge / Affordability Review,Very High churn risk with Higher/Highest relative customer value.,0
61205,0.002519705403088627,Low,Stable / Limited Deterioration,2/5 behavioural metrics declined across the observed period,0,0,2,Highest,457.859,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
49869,0.0030459261574223256,Low,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 3/5 behavioural metrics declined across the observed period,1,1,3,Highest,379.882,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
39202,0.4991488677286097,Very High,Persistent Deterioration,4/5 behavioural metrics declined recently; 3/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,4,3,5,Lower,2.91,Priority 2,Persistent Deterioration Review,Very High churn risk combined with strong behavioural deterioration.,1
34481,0.0009802101499100046,Low,Recent Deterioration,5/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 2/5 behavioural metrics declined across the observed period,5,1,2,Higher,373.309,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
50834,0.00648069611865663,Moderate,Stable / Limited Deterioration,2/5 behavioural metrics declined across the observed period,0,0,2,Moderate,172.867,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
32994,0.0069683766542113805,Moderate,Recent Deterioration,2/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,2,0,1,Higher,305.687,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
11437,0.016748003752368266,High,Persistent Deterioration,5/5 behavioural metrics declined recently; 2/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,5,2,5,Highest,815.42,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
69150,0.4518561085911864,Very High,Recent Broad Deterioration,5/5 behavioural metrics declined recently; 5/5 behavioural metrics declined across the observed period,5,0,5,Lower,47.212,Priority 2,Broad Recent Deterioration Review,Very High churn risk combined with strong behavioural deterioration.,0
33270,0.005002994552337306,Moderate,Stable / Limited Deterioration,4/5 behavioural metrics declined across the observed period,0,0,4,Moderate,165.179,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
44017,0.5273263525400982,Very High,Persistent Deterioration,3/5 behavioural metrics declined recently; 3/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,3,3,5,Moderate,135.07,Priority 2,Persistent Deterioration Review,Very High churn risk combined with strong behavioural deterioration.,1
57409,0.003499934651821635,Moderate,Stable / Limited Deterioration,1/5 behavioural metrics declined recently,1,0,0,Moderate,143.089,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
65561,0.01047188028889386,High,Persistent Deterioration,3/5 behavioural metrics declined recently; 2/5 behavioural metrics show persistent decline; 3/5 behavioural metrics declined across the observed period,3,2,3,Highest,674.743,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
24151,0.0049090958003213244,Moderate,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,1,1,5,Higher,270.773,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
67365,0.009114806530809974,High,Recent Deterioration,3/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 4/5 behavioural metrics declined across the observed period,3,1,4,Moderate,143.171,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
5055,0.0018277878834304987,Low,Recent Deterioration,2/5 behavioural metrics declined recently,2,0,0,Moderate,182.045,Priority 3,Usage / Engagement Review,Customer does not meet the higher retention-priority criteria.,0
19403,0.003167811829934454,Low,Recent Deterioration,3/5 behavioural metrics declined recently,3,0,0,Highest,428.113,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
32278,0.09464589027752536,Very High,Recent Deterioration,5/5 behavioural metrics declined recently,5,0,0,Highest,1741.599,Priority 1,Recharge / Affordability Review,Very High churn risk with Higher/Highest relative customer value.,0
20940,0.0014037602863532235,Low,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,1,0,1,Higher,279.368,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
63471,0.03909961001408158,Very High,Persistent Deterioration,3/5 behavioural metrics declined recently; 3/5 behavioural metrics show persistent decline; 4/5 behavioural metrics declined across the observed period,3,3,4,Moderate,190.729,Priority 2,Persistent Deterioration Review,Very High churn risk combined with strong behavioural deterioration.,0
56213,0.014627253029947414,High,Recent Deterioration,3/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,3,0,1,Higher,198.102,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
45402,0.0051580549425209255,Moderate,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 1/5 behavioural metrics show persistent decline; 2/5 behavioural metrics declined across the observed period,1,1,2,Moderate,115.045,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
41401,0.008286493330619779,Moderate,Recent Deterioration,5/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,5,0,1,Lower,85.726,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
6209,0.012985687472096082,High,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 1/5 behavioural metrics declined across the observed period,1,0,1,Moderate,168.838,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
61854,0.0010283162218312771,Low,Recent Deterioration,2/5 behavioural metrics declined recently,2,0,0,Highest,469.075,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
16339,0.01095795286580072,High,Stable / Limited Deterioration,No strong engineered deterioration signal detected,0,0,0,Highest,682.712,Priority 3,General Retention Review,Customer does not meet the higher retention-priority criteria.,0
15618,0.0523598464145825,Very High,Stable / Limited Deterioration,No strong engineered deterioration signal detected,0,0,0,Highest,387.772,Priority 1,General Retention Review,Very High churn risk with Higher/Highest relative customer value.,0
357,0.04236622344696306,Very High,Persistent Deterioration,2/5 behavioural metrics declined recently; 2/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,2,2,5,Lower,41.739,Priority 2,Persistent Deterioration Review,Very High churn risk combined with strong behavioural deterioration.,0
51367,0.056377292406283724,Very High,Stable / Limited Deterioration,1/5 behavioural metrics declined recently; 3/5 behavioural metrics declined across the observed period,1,0,3,Moderate,134.214,Priority 3,Recharge / Affordability Review,Customer does not meet the higher retention-priority criteria.,0
3504,0.012738408488761085,High,Persistent Deterioration,3/5 behavioural metrics declined recently; 2/5 behavioural metrics show persistent decline; 5/5 behavioural metrics declined across the observed period,3,2,5,Highest,759.8,Priority 3,Persistent Deterioration Review,Customer does not meet the higher retention-priority criteria.,0
